[2025-11-21 09:33:26,569] 20 root - INFO - Loading file: Python_Datascience.pdf
[2025-11-21 09:33:28,346] 42 root - INFO - File loaded successfully: Python_Datascience.pdf
[2025-11-21 09:33:28,347] 22 root - INFO - Loading Gemini 2.0 Flash model...
[2025-11-21 09:33:29,717] 24 root - INFO - Gemini 2.0 Flash model loaded successfully.
[2025-11-21 09:33:29,717] 22 root - INFO - 
[2025-11-21 09:33:30,130] 29 root - INFO - 
[2025-11-21 09:35:17,611] 20 root - INFO - Loading file: 01-Introduction to Cryptography_removed.pdf
[2025-11-21 09:35:17,748] 42 root - INFO - File loaded successfully: 01-Introduction to Cryptography_removed.pdf
[2025-11-21 09:35:17,749] 22 root - INFO - Loading Gemini 2.0 Flash model...
[2025-11-21 09:35:20,348] 24 root - INFO - Gemini 2.0 Flash model loaded successfully.
[2025-11-21 09:35:20,348] 22 root - INFO - 
[2025-11-21 09:35:20,352] 29 root - INFO - 
[2025-11-21 09:35:47,610] 32 root - INFO - 
[2025-11-21 09:36:45,657] 20 root - INFO - Loading file: 01-Introduction to Cryptography_removed.pdf
[2025-11-21 09:36:45,764] 42 root - INFO - File loaded successfully: 01-Introduction to Cryptography_removed.pdf
[2025-11-21 09:36:45,765] 22 root - INFO - Loading Gemini 2.0 Flash model...
[2025-11-21 09:36:46,863] 24 root - INFO - Gemini 2.0 Flash model loaded successfully.
[2025-11-21 09:36:46,863] 22 root - INFO - 
[2025-11-21 09:36:46,866] 29 root - INFO - 
[2025-11-21 09:36:54,724] 32 root - INFO - 
[2025-11-21 09:37:34,566] 20 root - INFO - Loading file: 01-Introduction to Cryptography_removed.pdf
[2025-11-21 09:37:34,675] 42 root - INFO - File loaded successfully: 01-Introduction to Cryptography_removed.pdf
[2025-11-21 09:37:34,675] 22 root - INFO - Loading Gemini 2.0 Flash model...
[2025-11-21 09:37:38,816] 24 root - INFO - Gemini 2.0 Flash model loaded successfully.
[2025-11-21 09:37:38,817] 22 root - INFO - 
[2025-11-21 09:37:38,819] 29 root - INFO - 
[2025-11-21 09:37:45,773] 32 root - INFO - 
[2025-11-21 09:38:34,070] 32 root - INFO - 
[2025-11-21 09:38:34,782] 20 root - INFO - Loading file: 01-Introduction to Cryptography_removed.pdf
[2025-11-21 09:38:34,885] 42 root - INFO - File loaded successfully: 01-Introduction to Cryptography_removed.pdf
[2025-11-21 09:38:34,886] 22 root - INFO - Loading Gemini 2.0 Flash model...
[2025-11-21 09:38:36,118] 24 root - INFO - Gemini 2.0 Flash model loaded successfully.
[2025-11-21 09:38:36,118] 22 root - INFO - 
[2025-11-21 09:38:36,121] 29 root - INFO - 
[2025-11-21 09:38:41,655] 32 root - INFO - 
[2025-11-21 09:40:15,923] 20 root - INFO - Loading file: Avinash_Padidadakala - Resume.docx
[2025-11-21 09:40:15,975] 42 root - INFO - File loaded successfully: Avinash_Padidadakala - Resume.docx
[2025-11-21 09:40:15,976] 22 root - INFO - Loading Gemini 2.0 Flash model...
[2025-11-21 09:40:17,110] 24 root - INFO - Gemini 2.0 Flash model loaded successfully.
[2025-11-21 09:40:17,111] 22 root - INFO - 
[2025-11-21 09:40:17,115] 29 root - INFO - 
[2025-11-21 09:40:18,806] 32 root - INFO - 
